"","X.2","X.1","X","Country","population_2020","yearly_change","net_change","pop_density","land_area","mig_net","fert_rate","med_age","urban_pop","world_share","suicide_rate","gdp_per_capita","life_expect","continent","dup_population_2020"
"144",167,167,167,"Slovakia",5459642,0.05,2629,114,48088,1485,1.5,41,54,0.07,10.1,38321,77.4,"Europe",5459642
"145",168,168,168,"Slovenia",2078938,0.01,284,103,20140,2000,1.6,45,55,0.03,13.3,40344,81.2,"Europe",2078938
"146",169,169,169,"Solomon Islands",686884,2.55,17061,25,27990,-1600,4.4,20,23,0.01,5.9,2363,72.8,"Oceania",686884
"147",170,170,170,"Somalia",15893222,2.92,450317,25,627340,-40000,6.1,17,47,0.2,8.3,314.5,56.7,"Africa",15893222
"148",171,171,171,"South Africa",59308690,1.28,750420,49,1213090,145405,2.4,28,67,0.76,12.8,13965,63.9,"Africa",59308690
"149",174,174,174,"Spain",46754778,0.04,18002,94,498800,40000,1.3,45,80,0.6,6.1,43007,83.4,"Europe",46754778
"150",175,175,175,"Sri Lanka",21413249,0.42,89516,341,62710,-97986,2.2,34,18,0.27,14.2,14509,76.8,"Asia",21413249
"151",178,178,178,"Sudan",43849260,2.42,1036022,25,1765048,-50000,4.4,20,35,0.56,9.5,3986,65.1,"Africa",43849260
"152",179,179,179,"Suriname",586632,0.9,5260,4,156000,-1000,2.4,29,65,0.01,23.2,16044,71.6,"South America",586632
"153",180,180,180,"Sweden",10099265,0.63,62886,25,410340,40000,1.9,41,88,0.13,13.8,55989,82.7,"Europe",10099265
"154",184,184,184,"Tajikistan",9537645,2.32,216627,68,139960,-20000,3.6,22,27,0.12,3.3,3751,70.9,"Asia",9537645
"155",185,185,185,"Tanzania",59734218,2.98,1728755,67,885800,-40076,4.9,18,37,0.77,9.6,3652,65,"Africa",59734218
"156",186,186,186,"Thailand",69799978,0.25,174396,137,510890,19444,1.5,40,51,0.9,12.9,21361,76.9,"Asia",69799978
"157",187,187,187,"Timor-Leste",1318445,1.96,25326,89,14870,-5385,4.1,21,33,0.02,6.4,5321,69.3,"Asia",1318445
"158",188,188,188,"Togo",8278724,2.43,196358,152,54390,-2000,4.4,19,43,0.11,16.6,1913,60.8,"Africa",8278724
"159",189,189,189,"Tonga",105695,1.15,1201,147,720,-800,3.6,22,24,0,4,6867,70.8,"Oceania",105695
"160",190,190,190,"Trinidad and Tobago",1399488,0.32,4515,273,5130,-800,1.7,36,52,0.02,12.9,33713,73.4,"North America",1399488
"161",191,191,191,"Tunisia",11818619,1.06,123900,76,155360,-4000,2.2,33,70,0.15,3.2,13093,76.5,"Africa",11818619
"162",192,192,192,"Turkey",84339067,1.09,909452,110,769630,283922,2.1,32,76,1.08,7.2,29327,78.3,"Asia",84339067
"163",193,193,193,"Turkmenistan",6031200,1.5,89111,13,469930,-5000,2.8,27,53,0.08,7.2,21855,68.1,"Asia",6031200
"164",195,195,195,"Uganda",45741007,3.32,1471413,229,199810,168694,5,17,26,0.59,20,2753,63,"Africa",45741007
"165",196,196,196,"Ukraine",43733762,-0.59,-259876,75,579320,10000,1.4,41,69,0.56,18.5,10130,72,"Europe",43733762
"166",197,197,197,"United Arab Emirates",9890402,1.23,119873,118,83600,40000,1.4,33,86,0.13,2.7,70441,77.8,"Asia",9890402
"167",198,198,198,"United Kingdom",67886011,0.53,355839,281,241930,260650,1.8,40,83,0.87,7.6,48169,81.2,"Europe",67886011
"168",200,200,200,"Uruguay",3473730,0.35,11996,20,175020,-3000,2,36,96,0.04,16.5,24516,77.8,"South America",3473730
"169",201,201,201,"Uzbekistan",33469203,1.48,487487,79,425400,-8863,2.4,28,50,0.43,7.4,9595,71.5,"Asia",33469203
"170",202,202,202,"Vanuatu",307145,2.42,7263,25,12190,120,3.8,21,24,0,5.4,3039,70.3,"Oceania",307145
"171",204,204,204,"Vietnam",97338579,0.91,876473,314,310070,-80000,2.1,32,38,1.25,7,8677,75.3,"Asia",97338579
"172",206,206,206,"Yemen",29825964,2.28,664042,56,527970,-30000,3.8,20,38,0.38,9.8,2312,66.1,"Asia",29825964
"173",207,207,207,"Zambia",18383955,2.93,522925,25,743390,-8000,4.7,18,45,0.24,11.3,4174,63.5,"Africa",18383955
"174",208,208,208,"Zimbabwe",14862924,1.48,217456,38,386850,-116858,3.6,19,38,0.19,19.1,2778,61.2,"Africa",14862924
